CODCP,facilidad_mas_cercana_car,duracion_min_car,distancia_km_car,facilidad_mas_cercana_foot,duracion_min_foot,distancia_km_foot,facilidad_mas_cercana_bike,duracion_min_bike,distancia_km_bike,mismo_hospital_car_foot,ratio_foot_car,ratio_bike_car
111977,3494,184.08666666666667,148.6934,11775.0,1694.13,140.8434,11775.0,829.3933333333333,141.69060000000002,False,9.202893564625358,4.505450331365661
111979,3494,53.04833333333333,25.987299999999998,3494.0,312.34166666666664,25.9836,3494.0,104.56166666666667,25.989099999999997,True,5.887869552923434,1.9710641239121556
111998,4370,35.21,41.4784,4370.0,619.7183333333334,51.4695,30057.0,263.0516666666667,64.2732,True,17.600634289501087,7.470936287039667
112002,3770,29.275,13.7567,3770.0,164.12166666666664,13.648,3770.0,55.00333333333333,13.648,True,5.606205522345573,1.8788499857671506
112028,6732,21.154999999999998,21.3581,6732.0,341.4933333333333,28.392,6732.0,117.16333333333334,28.561,True,16.14244071535492,5.538328212400537
112055,3727,148.95166666666668,137.6072,3494.0,1981.7,164.7663,3494.0,688.1966666666667,164.92620000000002,False,13.304315717626523,4.6202683197010215
112060,3494,46.501666666666665,64.24969999999999,3494.0,687.8916666666667,57.197300000000006,3494.0,235.36,57.229,True,14.792838966345293,5.061323966882908
112062,30057,43.095,55.9534,4370.0,1070.49,86.6832,30057.0,540.625,90.7182,False,24.840236686390533,12.544958811927138
112141,3523,114.07333333333332,134.98170000000002,3523.0,1580.8316666666665,131.42770000000002,3523.0,528.3966666666666,131.436,True,13.858029922272221,4.632078779732336
112185,3655,10.421666666666665,9.040799999999999,3655.0,108.81333333333333,9.0385,3655.0,40.69166666666667,9.5978,True,10.441068287222135,3.9045258276027517
112222,3655,159.86333333333332,143.12429999999998,3655.0,1663.9850000000001,138.3474,3655.0,560.2233333333334,138.7858,True,10.4087970975208,3.5043891657457418
112226,3727,252.015,275.8608,11775.0,3600.335,299.37059999999997,11775.0,1837.0933333333335,329.473,False,14.286193282145906,7.289619004159806
112252,30057,1.6883333333333332,1.0315999999999999,30057.0,11.639999999999999,0.9661000000000001,30057.0,4.72,1.0315999999999999,True,6.894373149062191,2.7956564659427445
112259,3523,20.771666666666665,27.9428,3523.0,517.0666666666667,42.9876,3523.0,173.665,42.998400000000004,True,24.892882933483115,8.360667576025035
112288,3727,94.22833333333332,108.5446,3494.0,1178.3633333333335,97.9422,3494.0,394.005,98.15,False,12.50540354104392,4.181385641261475
112404,15598,14.243333333333334,9.107899999999999,15598.0,107.18833333333333,8.902,15598.0,37.175,8.9035,True,7.525509010063187,2.6099929791715417
112405,4370,89.66666666666667,123.0306,,,,,,,False,,
112410,3727,267.42333333333335,197.23239999999998,3494.0,2887.1466666666665,240.0157,3494.0,1389.1933333333334,259.5219,False,10.796165879317435,5.19473493960886
112416,35125,57.13,40.427800000000005,35125.0,424.3,35.2576,35125.0,154.65333333333334,35.2576,True,7.4269210572378785,2.7070424178773558
112436,11775,120.66666666666667,106.92460000000001,3494.0,1332.9199999999998,110.85889999999999,3494.0,596.6683333333333,110.98910000000001,False,11.046298342541435,4.9447651933701655
112449,6732,62.830000000000005,61.0049,6732.0,829.975,68.9794,6732.0,364.68333333333334,68.9799,True,13.209851981537481,5.804286699559658
112469,3727,144.61833333333334,149.7657,3494.0,1922.3283333333334,159.7753,3494.0,668.4833333333333,159.9832,False,13.292424888499614,4.622396883751484
112474,3754,65.015,66.5294,3754.0,784.1066666666667,65.1991,3754.0,265.18666666666667,65.6821,True,12.060396318798226,4.078853597887667
112491,3523,170.92166666666665,187.3717,3523.0,2107.991666666667,175.2686,3523.0,704.115,175.27689999999998,True,12.33308630659269,4.1195186878979655
112495,3494,32.24333333333333,32.965900000000005,3494.0,388.435,32.285,3494.0,130.58833333333334,32.4929,True,12.046986457148765,4.050087873462215
112500,3727,7.668333333333334,8.5163,3727.0,72.58666666666666,6.0359,3727.0,31.71833333333333,6.0359,True,9.465768311236687,4.136274722886328
112514,3523,117.93333333333334,126.148,3523.0,1483.0666666666666,123.3101,3523.0,495.7966666666667,123.3184,True,12.575466365178066,4.204041831543245
112533,3494,111.06166666666667,96.6942,3494.0,1101.3283333333334,91.5877,3494.0,417.51500000000004,93.2045,True,9.91636778366373,3.759307892011946
112540,35125,70.94666666666667,59.420199999999994,35125.0,649.9466666666667,54.0201,35125.0,230.46666666666667,54.0418,True,9.161059951137004,3.248449539560233
112541,3523,149.06333333333333,121.3685,3523.0,1343.6883333333333,111.6541,3523.0,550.5766666666666,128.50039999999998,True,9.014210961783581,3.6935754377334016
112559,3727,128.61,133.58679999999998,3494.0,2237.0433333333335,186.0182,3494.0,772.9583333333334,186.1781,False,17.394007723608844,6.010095119612264
112571,3494,92.76666666666667,99.3399,3494.0,1102.7783333333332,91.6977,3494.0,375.4316666666667,91.8576,True,11.887657204455621,4.047053539346029
112596,3727,187.63833333333332,145.4134,3494.0,2342.0666666666666,194.6943,3494.0,1180.465,207.7029,False,12.481813417656307,6.291171846548768
112597,4370,142.13,123.2686,4370.0,1417.355,117.86319999999999,30057.0,748.8933333333333,120.9584,True,9.972243720537536,5.2690729144679755
112607,3494,287.68833333333333,217.9001,3494.0,3144.6233333333334,261.4393,3494.0,1476.3266666666668,280.971,True,10.930659915533592,5.131687648091396
