CODCP,facilidad_mas_cercana,t_min,distancia_km
677581,3494,137.91833333333335,128.6585
677589,3494,146.3383333333333,134.0962
677692,3727,89.14333333333335,61.4465
677696,3494,155.14833333333334,124.60560000000001
677787,6502,110.79166666666667,90.7348
677788,6502,78.75833333333334,74.8107
677914,3727,198.925,204.1832
677937,3523,164.95,152.4027
677942,3523,66.315,52.227599999999995
677959,3494,78.24666666666667,58.066
678027,37376,144.08166666666665,132.24689999999998
678030,37376,165.725,141.20829999999998
678073,6732,28.621666666666666,18.0393
678100,6580,608.9283333333333,359.3553
678104,6502,27.90666666666667,37.7965
678105,6502,32.08,42.3106
678107,3727,174.01000000000002,187.6018
678145,3727,147.63500000000002,163.99710000000002
678146,3727,148.735,137.43710000000002
678268,3727,129.97,133.35670000000002
678269,3727,123.00166666666668,129.7551
678270,3494,62.519999999999996,59.654199999999996
678271,3494,60.626666666666665,57.6009
678298,3523,93.385,70.0788
678338,3523,106.76833333333335,78.9832
678341,3523,53.50833333333333,50.402699999999996
678414,4370,50.30166666666666,49.9803
678529,6732,31.293333333333333,27.6902
678569,3494,106.14,81.788
678571,3494,47.105000000000004,42.9819
678572,3494,50.401666666666664,44.586
678574,3494,37.4,18.2447
678591,3727,66.64333333333333,75.8249
678599,6502,31.11,40.5174
678665,6502,30.313333333333333,40.3895
678677,6919,29.133333333333333,22.975
678679,6919,50.2,36.722199999999994
678716,3727,83.40333333333334,95.69069999999999
678717,3727,83.37166666666667,95.6572
678719,3727,83.40333333333334,95.69069999999999
678720,3523,88.705,67.0463
678746,3523,121.80166666666668,127.324
678851,3727,108.12833333333333,111.5232
678855,3727,65.105,78.0138
678857,3727,95.49666666666667,94.6515
678870,3727,147.515,151.1097
678871,3727,147.41833333333335,151.0696
678878,3727,147.515,151.1097
679059,6919,47.29333333333333,38.423
679110,3494,155.79333333333335,125.3506
679122,3727,26.673333333333336,34.775800000000004
679165,6502,14.566666666666666,17.1189
679214,3727,5.836666666666667,8.2515
679215,3727,7.371666666666667,8.2854
679217,3727,35.22833333333333,40.6174
679234,37376,171.05333333333334,137.3092
679244,37376,184.07666666666668,144.3522
679251,3727,203.37333333333333,224.5039
679252,3727,229.04166666666666,163.5334
679445,3523,64.44,50.356300000000005
679447,3727,90.41166666666666,97.53269999999999
679455,3727,123.5,128.1602
679591,3727,42.01166666666666,46.281099999999995
679620,37376,155.08333333333334,129.887
679623,3494,138.84666666666666,111.2889
679633,3727,14.756666666666666,20.796799999999998
679641,3727,116.68333333333334,77.18130000000001
679642,3727,177.71166666666667,157.63420000000002
679653,3523,74.97833333333332,52.009
679658,3523,74.145,51.6634
679661,3523,97.76666666666667,72.876
679663,3727,93.24333333333334,103.6822
679667,3727,79.67333333333333,92.7765
679672,3727,90.87166666666667,103.1616
680006,3727,115.565,112.7529
680009,3727,156.41333333333333,131.2523
680021,3523,70.46499999999999,54.3634
